Datetime,Open Price,High Price,Low Price,Close Price,Total Volume
2020-04-20,97.52,98.5,97.41,97.41,1136075.0
2020-04-21,96.39,96.4,95.89,96.37,1246396.0
2020-04-22,95.47,96.48,95.37,95.85,2219318.0
2020-04-23,95.87,95.88,95.71,95.76,3601866.0
2020-04-24,93.96,94.13,93.19,93.44,2623929.0
2020-04-27,94.59,96.17,93.73,94.58,1864619.0
2020-04-28,93.43,94.47,93.16,93.88,1614671.0
2020-04-29,89.87,89.9,89.56,89.86,933341.0
2020-04-30,89.51,89.9,88.82,89.84,1393898.0
2020-05-01,89.04,89.55,88.59,88.81,761827.0
2020-05-04,91.35,91.9,91.01,91.21,1451185.0
2020-05-05,90.34,91.96,89.96,90.38,1498575.0
2020-05-06,88.76,89.19,88.36,88.85,451160.0
2020-05-07,89.51,89.58,89.28,89.57,1226125.0
2020-05-08,88.65,89.35,87.88,88.65,1479830.0
2020-05-11,87.38,88.04,86.77,87.58,1153308.0
2020-05-12,87.93,89.49,87.82,88.3,1438375.0
2020-05-13,87.17,87.46,85.71,86.87,614853.0
2020-05-14,84.81,85.47,83.53,84.91,815917.0
2020-05-15,87.3,88.25,87.25,87.26,2017701.0
2020-05-18,88.15,88.58,87.9,88.07,1202948.0
2020-05-19,87.8,88.78,87.44,87.71,1425366.0
2020-05-20,87.41,88.07,87.21,87.72,915055.0
2020-05-21,87.99,88.56,87.78,88.43,1214383.0
2020-05-22,89.65,90.55,89.14,89.81,380406.0
2020-05-25,88.86,88.9,88.26,88.75,1835828.0
2020-05-26,89.08,89.67,88.92,89.28,2969685.0
2020-05-27,88.48,88.66,87.41,88.58,706085.0
2020-05-28,88.89,89.31,88.21,88.33,751506.0
2020-05-29,88.07,88.68,87.98,88.56,1499197.0
2020-06-01,88.36,88.57,87.86,88.56,2512879.0
2020-06-02,90.11,91.16,89.33,89.6,1201344.0
2020-06-03,90.29,90.38,89.73,90.3,650399.0
2020-06-04,88.01,88.9,87.54,88.19,1083483.0
2020-06-05,86.64,86.98,86.2,86.34,718581.0
2020-06-08,85.86,86.66,85.66,85.85,860765.0
2020-06-09,88.27,88.9,87.39,88.36,1033002.0
2020-06-10,87.25,87.46,86.64,87.2,755653.0
2020-06-11,86.75,87.2,86.34,86.92,815085.0
2020-06-12,85.94,86.35,84.62,86.2,1248267.0
2020-06-15,85.43,85.9,85.28,85.46,1339113.0
2020-06-16,85.45,85.85,85.04,85.71,590078.0
2020-06-17,87.64,88.02,87.06,87.63,1466209.0
2020-06-18,88.37,88.66,88.27,88.27,993543.0
2020-06-19,87.4,87.61,87.04,87.17,1723954.0
2020-06-22,91.36,91.98,90.99,91.05,1776665.0
2020-06-23,91.06,91.86,90.76,91.17,915961.0
2020-06-24,90.49,90.63,89.66,90.36,1634870.0
2020-06-25,92.53,92.55,92.32,92.4,791371.0
2020-06-26,91.82,91.91,91.24,91.73,2331170.0
2020-06-29,94.04,94.36,93.52,94.17,806478.0
2020-06-30,92.61,92.93,91.91,92.9,1434569.0
2020-07-01,95.17,95.52,94.3,95.03,1094924.0
2020-07-02,94.85,95.4,94.29,95.34,723281.0
2020-07-03,97.23,98.48,96.42,97.31,1886923.0
2020-07-06,99.51,101.33,99.42,100.28,884638.0
2020-07-07,98.12,99.66,97.83,98.52,513992.0
2020-07-08,100.26,100.53,100.21,100.53,284644.0
2020-07-09,98.66,99.22,98.28,98.33,776442.0
2020-07-10,96.94,97.14,96.36,96.74,2392751.0
2020-07-13,95.37,95.56,95.06,95.53,2255471.0
2020-07-14,96.51,96.78,96.09,96.3,839617.0
2020-07-15,96.62,98.05,95.69,96.36,997266.0
2020-07-16,96.08,96.27,95.68,96.12,953165.0
2020-07-17,95.95,96.66,95.92,96.35,617407.0
2020-07-20,97.21,98.23,97.03,97.27,748319.0
2020-07-21,98.28,99.47,97.62,98.31,1964159.0
2020-07-22,99.66,100.13,98.96,100.03,1547179.0
2020-07-23,103.06,103.52,101.75,102.95,1378552.0
2020-07-24,103.01,103.54,102.54,102.92,616878.0
2020-07-27,102.23,102.52,101.72,102.1,1264708.0
2020-07-28,103.18,103.6,103.0,103.1,380057.0
2020-07-29,101.49,101.86,99.58,101.27,1832884.0
2020-07-30,100.15,100.8,99.07,100.2,1368584.0
2020-07-31,101.87,102.58,101.39,101.8,613775.0
2020-08-03,101.5,101.71,101.03,101.62,2698517.0
2020-08-04,99.54,100.02,99.52,99.71,489881.0
2020-08-05,97.8,98.04,96.74,97.41,1567752.0
2020-08-06,96.9,97.87,95.84,97.5,1587365.0
2020-08-07,99.54,100.47,98.74,99.28,647041.0
2020-08-10,100.88,101.43,100.57,101.07,1180059.0
2020-08-11,101.03,101.46,100.59,101.26,530506.0
2020-08-12,104.61,105.13,104.48,104.53,289761.0
2020-08-13,103.9,104.63,103.04,104.37,705077.0
2020-08-14,103.89,104.89,102.78,104.15,883536.0
2020-08-17,99.78,100.84,99.54,100.03,1659668.0
2020-08-18,99.28,99.55,99.05,99.34,1243828.0
2020-08-19,100.45,100.87,100.4,100.7,1260190.0
2020-08-20,103.71,103.99,102.61,103.22,724176.0
2020-08-21,102.44,102.82,100.41,101.89,922640.0
2020-08-24,102.02,103.19,101.19,102.65,755426.0
2020-08-25,104.53,105.68,104.25,104.36,651813.0
2020-08-26,104.66,105.25,103.4,104.39,893722.0
2020-08-27,100.88,101.46,99.99,100.72,1248254.0
2020-08-28,100.92,101.85,100.87,101.12,903183.0
2020-08-31,102.28,102.68,102.08,102.36,1022999.0
2020-09-01,100.62,101.47,99.71,100.85,1702243.0
2020-09-02,100.33,100.54,99.76,100.46,936236.0
2020-09-03,98.3,99.64,97.31,98.66,617242.0
2020-09-04,94.72,94.99,94.6,94.76,1593952.0
2020-09-07,95.88,96.41,95.0,96.31,1373571.0
2020-09-08,96.26,96.34,96.26,96.32,1417393.0
2020-09-09,98.41,99.5,98.21,98.78,1644455.0
2020-09-10,100.2,100.47,100.12,100.14,1511058.0
2020-09-11,99.39,99.74,99.07,99.59,1220004.0
2020-09-14,99.56,99.57,99.31,99.47,3975759.0
2020-09-15,100.7,101.81,99.54,100.37,632551.0
2020-09-16,102.41,102.58,100.51,101.93,896982.0
2020-09-17,101.68,103.99,100.92,102.46,1950638.0
2020-09-18,104.01,104.64,103.56,104.27,1291472.0
2020-09-21,103.7,104.33,103.03,103.79,1756724.0
2020-09-22,102.33,102.6,101.26,102.19,1309136.0
2020-09-23,101.59,102.46,100.82,102.1,2390536.0
2020-09-24,102.14,102.46,101.77,102.44,726682.0
2020-09-25,100.57,101.22,100.15,100.53,2353067.0
2020-09-28,98.47,98.47,97.66,98.45,2159740.0
2020-09-29,99.27,101.01,98.21,99.15,656617.0
2020-09-30,98.66,99.76,97.27,98.53,1648428.0
2020-10-01,98.39,98.42,97.88,98.29,1177001.0
2020-10-02,97.8,97.89,97.59,97.74,887984.0
2020-10-05,100.14,100.73,99.87,100.12,467751.0
2020-10-06,102.35,102.84,101.49,102.14,725483.0
2020-10-07,99.51,100.4,98.36,100.19,1713513.0
2020-10-08,99.82,100.13,98.89,99.36,1806534.0
2020-10-09,100.04,101.26,99.31,100.71,1082350.0
2020-10-12,101.35,102.64,100.61,101.68,1809376.0
2020-10-13,101.56,101.83,101.45,101.63,1929227.0
2020-10-14,100.03,100.1,99.52,99.83,1299279.0
2020-10-15,97.89,99.77,97.73,98.78,838050.0
2020-10-16,97.98,98.43,97.3,97.99,1499327.0
2020-10-19,98.66,99.34,97.79,98.43,1534158.0
2020-10-20,101.42,101.67,101.04,101.12,1684488.0
2020-10-21,99.83,100.61,99.26,100.04,1853714.0
2020-10-22,98.36,99.05,97.26,98.45,608601.0
2020-10-23,98.11,98.56,97.75,98.29,931951.0
2020-10-26,99.79,100.16,98.33,99.91,465417.0
2020-10-27,97.37,98.08,96.78,97.67,1747153.0
2020-10-28,99.68,100.66,99.58,99.94,1081484.0
2020-10-29,99.82,100.2,99.02,99.69,1491670.0
2020-10-30,98.59,99.54,97.8,98.55,575020.0
2020-11-02,96.25,96.64,95.83,96.11,2422936.0
2020-11-03,97.26,97.49,96.69,97.2,661874.0
2020-11-04,97.15,97.48,96.37,96.94,1771402.0
2020-11-05,97.47,98.03,96.44,97.22,1275661.0
2020-11-06,95.36,96.55,95.27,95.86,1093921.0
2020-11-09,95.14,95.42,94.66,95.39,1050650.0
2020-11-10,94.61,94.71,94.35,94.67,874116.0
2020-11-11,94.53,94.62,94.17,94.53,2298111.0
2020-11-12,93.36,93.71,92.82,93.55,1210212.0
2020-11-13,91.58,92.52,91.27,91.33,637551.0
2020-11-16,95.92,96.16,95.02,95.35,992537.0
2020-11-17,93.39,94.49,93.06,93.33,1282305.0
2020-11-18,93.64,94.35,93.61,93.61,1883990.0
2020-11-19,91.28,92.21,91.02,91.05,888856.0
2020-11-20,87.74,88.81,87.7,88.24,919065.0
2020-11-23,88.39,88.71,87.7,88.38,1216777.0
2020-11-24,88.9,89.13,88.55,88.64,1861164.0
2020-11-25,90.25,91.33,89.94,90.43,606599.0
2020-11-26,90.67,91.82,89.94,91.01,1548314.0
2020-11-27,90.75,90.96,90.55,90.8,953571.0
2020-11-30,89.45,90.03,89.12,89.46,1022523.0
2020-12-01,91.36,91.84,91.24,91.61,3271594.0
2020-12-02,93.56,94.0,92.5,92.97,1090084.0
2020-12-03,91.05,91.56,90.53,91.18,1753890.0
2020-12-04,90.93,91.36,90.88,91.24,1722792.0
2020-12-07,91.43,92.41,90.44,91.46,666628.0
2020-12-08,91.22,91.59,90.14,90.97,477970.0
2020-12-09,92.1,93.02,91.35,92.1,1812996.0
2020-12-10,93.46,93.93,93.03,93.32,699574.0
2020-12-11,92.81,93.27,92.06,93.05,523299.0
2020-12-14,93.07,93.48,92.52,92.65,2008866.0
2020-12-15,95.04,95.04,94.19,94.88,722366.0
2020-12-16,96.59,97.34,95.88,96.29,817283.0
2020-12-17,96.52,96.85,96.01,96.41,3227397.0
2020-12-18,94.21,95.15,93.62,93.98,524464.0
2020-12-21,94.25,94.67,93.96,94.5,641688.0
2020-12-22,95.42,96.01,95.17,95.56,955654.0
2020-12-23,91.88,92.04,91.4,91.51,1066477.0
2020-12-24,92.32,92.39,90.84,91.89,769216.0
2020-12-25,90.98,91.63,90.88,91.29,673789.0
2020-12-28,91.06,91.81,90.01,90.99,2558667.0
2020-12-29,89.59,90.54,89.11,89.71,1371606.0
2020-12-30,89.32,90.33,89.01,89.51,1611352.0
2020-12-31,91.58,91.95,90.85,91.5,1122858.0
2021-01-01,91.18,92.55,90.54,90.87,1389879.0
2021-01-04,92.4,92.77,91.61,92.27,1917343.0
2021-01-05,91.03,91.54,90.39,91.12,730767.0
2021-01-06,92.37,92.53,91.54,92.23,1372875.0
2021-01-07,92.14,93.27,91.86,92.24,1703203.0
2021-01-08,92.88,93.1,91.97,92.76,2603582.0
2021-01-11,93.17,93.88,92.5,92.78,3184945.0
2021-01-12,93.15,94.37,92.89,93.74,1245353.0
2021-01-13,90.25,90.58,89.78,90.03,2125079.0
2021-01-14,87.65,88.1,87.53,88.05,316449.0
2021-01-15,88.97,88.97,87.98,88.64,2613345.0
2021-01-18,85.68,85.97,85.51,85.84,836564.0
2021-01-19,84.83,85.16,84.19,85.14,1066029.0
2021-01-20,85.25,85.47,84.84,85.08,1499365.0
2021-01-21,84.08,84.25,83.37,83.98,1113790.0
2021-01-22,82.83,83.32,82.67,83.08,1326728.0
2021-01-25,83.14,83.83,83.08,83.45,2660026.0
2021-01-26,84.75,85.01,84.47,84.8,992408.0
2021-01-27,83.23,84.13,82.64,83.54,698394.0
2021-01-28,82.53,83.14,81.71,82.79,2977909.0
2021-01-29,81.88,82.34,81.23,81.85,1564978.0
2021-02-01,78.57,78.88,77.89,78.8,3144355.0
2021-02-02,79.09,79.53,78.81,78.98,1852071.0
2021-02-03,80.52,80.91,79.92,80.17,620452.0
2021-02-04,81.43,81.62,81.36,81.47,1660605.0
2021-02-05,80.4,80.85,80.35,80.37,735294.0
2021-02-08,79.29,80.61,78.13,78.81,1207081.0
2021-02-09,78.56,79.31,78.01,78.84,1157928.0
2021-02-10,80.18,80.74,79.63,79.89,535613.0
2021-02-11,80.35,80.72,79.41,80.09,800983.0
2021-02-12,80.67,81.78,79.65,80.47,3622205.0
2021-02-15,82.26,82.36,81.82,81.94,1354833.0
2021-02-16,81.07,81.09,80.57,81.0,1101520.0
2021-02-17,80.59,81.19,80.55,80.73,2977055.0
2021-02-18,83.11,83.9,81.89,82.84,986464.0
2021-02-19,82.88,83.13,82.06,82.6,1148870.0
2021-02-22,81.24,81.62,80.39,80.97,1973662.0
2021-02-23,80.14,80.62,79.81,80.13,984247.0
2021-02-24,78.8,79.11,78.46,78.97,827976.0
2021-02-25,79.47,79.49,79.17,79.42,389696.0
2021-02-26,78.54,78.93,78.12,78.32,752948.0
2021-03-01,78.9,79.16,77.93,78.66,749368.0
2021-03-02,77.66,77.89,77.25,77.76,1301832.0
2021-03-03,75.29,75.53,74.42,75.21,886265.0
2021-03-04,75.29,75.66,74.81,75.59,3537778.0
2021-03-05,76.0,76.25,75.04,75.77,708699.0
2021-03-08,76.22,76.46,76.13,76.4,2422531.0
2021-03-09,75.78,75.79,75.52,75.61,1342275.0
2021-03-10,74.43,75.09,73.58,74.69,1800162.0
2021-03-11,75.41,75.69,74.76,75.17,1746300.0
2021-03-12,77.08,77.25,76.34,77.0,396679.0
2021-03-15,76.84,77.41,76.71,77.02,1195678.0
2021-03-16,77.71,77.88,77.1,77.55,1054826.0
2021-03-17,77.03,77.28,76.97,77.17,682495.0
2021-03-18,75.49,75.53,75.05,75.32,1513315.0
2021-03-19,76.42,76.68,76.1,76.49,2837035.0
2021-03-22,77.2,78.02,76.98,77.6,316000.0
2021-03-23,78.25,79.1,78.02,78.48,920586.0
2021-03-24,78.16,78.4,77.73,78.27,645072.0
2021-03-25,79.34,79.85,78.52,79.01,1246548.0
2021-03-26,80.36,80.49,79.61,80.14,1021915.0
2021-03-29,82.62,83.12,82.21,82.22,888386.0
2021-03-30,83.94,84.79,82.93,83.52,1697646.0
2021-03-31,83.48,84.61,83.27,83.62,2725304.0
2021-04-01,81.87,82.24,81.43,81.92,4550098.0
2021-04-02,82.03,82.55,81.52,82.13,830834.0
2021-04-05,82.31,82.6,82.06,82.47,483865.0
2021-04-06,82.95,83.59,82.91,83.41,1590562.0
2021-04-07,85.21,86.03,85.09,85.22,2690513.0
2021-04-08,84.77,85.14,84.52,85.1,1806397.0
2021-04-09,87.96,88.44,87.55,87.97,2684952.0
2021-04-12,86.12,86.27,85.27,85.58,1074383.0
2021-04-13,86.02,86.18,85.43,86.15,886656.0
2021-04-14,85.14,86.13,85.05,85.09,1274058.0
2021-04-15,82.8,83.26,82.32,82.58,1019399.0
2021-04-16,82.4,82.54,81.99,82.33,1675374.0
2021-04-19,80.54,80.67,80.32,80.47,1953013.0
2021-04-20,80.19,81.08,80.0,80.27,2031006.0
2021-04-21,80.27,80.34,80.0,80.33,1552375.0
2021-04-22,81.53,81.93,81.31,81.76,1359886.0
2021-04-23,80.06,80.08,79.53,79.85,1789082.0
2021-04-26,80.59,81.21,80.49,81.01,450676.0
2021-04-27,81.38,81.4,80.46,81.15,1336127.0
2021-04-28,82.14,83.45,81.99,82.48,1234577.0
2021-04-29,82.17,82.93,81.6,81.93,1337804.0
2021-04-30,80.16,80.41,79.88,80.24,1151054.0
2021-05-03,78.44,79.47,77.53,78.73,1492447.0
2021-05-04,77.28,77.44,77.14,77.15,902297.0
2021-05-05,77.96,78.29,77.01,77.74,2115415.0
2021-05-06,79.47,80.27,79.34,79.58,1523963.0
2021-05-07,79.05,79.43,78.85,78.88,1296713.0
2021-05-10,79.13,79.95,78.92,79.68,848514.0
2021-05-11,77.49,78.1,77.37,77.8,1807867.0
2021-05-12,78.33,78.51,77.55,78.03,1333516.0
2021-05-13,78.81,79.09,78.29,78.86,824274.0
2021-05-14,76.66,77.11,76.36,77.09,1169012.0
2021-05-17,76.69,77.03,76.44,76.86,1647124.0
2021-05-18,77.52,77.79,76.99,77.74,1584512.0
2021-05-19,74.2,74.52,73.87,74.23,1534177.0
2021-05-20,75.74,76.26,75.44,75.82,1259551.0
2021-05-21,76.29,77.39,75.5,76.25,2008522.0
2021-05-24,77.11,77.21,76.76,77.13,2233093.0
2021-05-25,76.95,77.65,76.04,76.64,1738723.0
2021-05-26,74.69,75.02,74.16,74.59,896519.0
2021-05-27,75.34,75.44,74.86,75.23,708545.0
2021-05-28,75.41,75.74,74.99,75.14,916237.0
2021-05-31,75.1,75.64,75.04,75.19,3194140.0
2021-06-01,76.21,76.55,76.02,76.5,1384498.0
2021-06-02,77.71,78.44,77.33,77.43,3482360.0
2021-06-03,79.85,80.32,79.78,79.82,1132458.0
2021-06-04,80.05,80.41,79.68,80.02,1056628.0
2021-06-07,79.01,79.57,78.81,79.16,1158888.0
2021-06-08,78.79,79.64,78.71,78.94,1148438.0
2021-06-09,79.67,80.11,79.44,79.46,816820.0
2021-06-10,80.99,81.04,80.55,80.76,677101.0
2021-06-11,79.11,79.44,78.6,78.92,1545207.0
2021-06-14,79.13,80.96,78.22,78.94,2037941.0
2021-06-15,81.11,81.64,80.45,80.98,4083605.0
2021-06-16,80.71,81.53,80.14,80.68,968151.0
2021-06-17,81.84,82.17,81.81,81.88,1008195.0
2021-06-18,82.83,82.84,82.32,82.53,817810.0
2021-06-21,83.7,84.85,83.56,83.79,2111404.0
2021-06-22,82.83,83.32,82.61,82.74,1807570.0
2021-06-23,81.51,81.95,81.23,81.7,775709.0
2021-06-24,81.58,82.08,81.03,81.74,765972.0
2021-06-25,79.74,80.52,79.73,79.8,1936238.0
2021-06-28,79.28,80.17,79.16,79.47,1456575.0
2021-06-29,79.99,80.08,79.61,79.8,1757134.0
2021-06-30,81.75,82.14,81.64,82.08,773450.0
2021-07-01,82.64,82.81,82.36,82.61,470305.0
2021-07-02,83.47,83.65,83.15,83.44,776473.0
2021-07-05,84.53,85.09,84.05,84.99,1696170.0
2021-07-06,83.61,83.95,82.38,83.72,3455677.0
2021-07-07,83.58,83.65,83.36,83.51,970210.0
2021-07-08,86.89,87.1,86.68,86.77,3752482.0
2021-07-09,86.62,86.72,86.27,86.68,1821025.0
2021-07-12,88.4,88.75,87.38,88.22,599280.0
2021-07-13,89.55,89.59,89.26,89.58,1338442.0
2021-07-14,87.54,87.91,87.01,87.53,1852390.0
2021-07-15,88.04,88.45,87.32,87.97,357632.0
2021-07-16,88.43,88.61,87.34,88.18,1659830.0
2021-07-19,88.47,88.72,87.92,88.65,2161603.0
2021-07-20,87.49,87.64,87.47,87.62,1468033.0
2021-07-21,85.93,86.57,85.42,86.1,1166058.0
2021-07-22,85.38,85.72,84.64,85.47,1102992.0
2021-07-23,85.71,85.81,85.19,85.34,1071252.0
2021-07-26,87.11,87.17,86.47,86.96,667978.0
2021-07-27,89.19,89.82,88.82,89.5,852764.0
2021-07-28,91.33,91.54,90.23,91.5,976474.0
2021-07-29,92.86,93.42,92.52,92.76,1272822.0
2021-07-30,91.06,91.41,90.55,91.31,910357.0
2021-08-02,90.54,90.86,90.09,90.74,778742.0
2021-08-03,91.41,91.8,90.99,91.05,1758348.0
2021-08-04,89.99,91.22,89.75,90.15,1447440.0
2021-08-05,91.25,91.6,90.85,90.99,918397.0
2021-08-06,92.38,93.31,91.94,92.04,1549030.0
2021-08-09,92.62,93.31,92.31,92.83,958784.0
2021-08-10,94.1,94.41,94.02,94.35,1241130.0
2021-08-11,92.95,93.19,92.55,93.03,1958172.0
2021-08-12,94.1,94.72,94.01,94.41,889246.0
2021-08-13,93.43,94.48,93.21,93.39,669171.0
2021-08-16,91.97,92.23,91.27,92.03,1118426.0
2021-08-17,92.92,93.22,91.51,92.82,608205.0
2021-08-18,95.02,95.11,94.09,94.62,1046829.0
2021-08-19,95.6,95.75,94.33,95.36,1045161.0
2021-08-20,95.54,96.35,95.23,95.4,350865.0
2021-08-23,95.32,96.03,94.87,95.88,1568010.0
2021-08-24,96.23,97.07,94.87,96.1,1097620.0
2021-08-25,94.91,95.4,93.85,94.42,2171542.0
2021-08-26,91.77,92.88,91.02,92.6,1339445.0
2021-08-27,92.69,92.75,92.39,92.5,1737233.0
2021-08-30,92.58,92.89,91.24,92.63,2180401.0
2021-08-31,92.42,92.86,92.16,92.65,1125954.0
2021-09-01,93.88,93.89,92.7,93.65,1202109.0
2021-09-02,93.83,93.9,93.21,93.35,547561.0
2021-09-03,94.41,94.74,93.42,94.19,2235038.0
2021-09-06,93.88,94.66,92.71,93.99,1118111.0
2021-09-07,96.46,97.56,96.4,96.74,727329.0
2021-09-08,96.91,98.28,96.56,96.87,1740810.0
2021-09-09,100.78,101.31,99.72,100.52,404380.0
2021-09-10,100.97,102.17,100.78,101.09,970302.0
2021-09-13,100.67,100.9,100.62,100.76,1893913.0
2021-09-14,100.2,100.3,98.14,99.35,966213.0
2021-09-15,97.45,97.68,96.38,97.13,839901.0
2021-09-16,95.97,96.54,95.61,95.64,976688.0
2021-09-17,93.92,94.35,92.9,94.33,440222.0
2021-09-20,94.73,95.0,94.49,94.93,1719836.0
2021-09-21,94.18,94.6,93.99,94.16,1130937.0
2021-09-22,94.17,94.95,93.88,94.45,1049514.0
2021-09-23,96.85,97.38,96.05,96.39,1051434.0
2021-09-24,96.67,97.66,96.04,96.26,1211100.0
2021-09-27,99.32,99.77,98.98,99.48,1667304.0
2021-09-28,98.19,98.66,97.64,97.67,1171702.0
2021-09-29,97.45,97.57,96.83,97.45,608761.0
2021-09-30,97.38,97.41,95.56,96.63,1603594.0
2021-10-01,98.12,98.81,97.76,98.08,1543071.0
2021-10-04,94.86,95.26,94.62,94.69,1332761.0
2021-10-05,92.96,93.3,91.88,92.57,2058773.0
2021-10-06,92.78,93.06,92.37,92.43,1221010.0
2021-10-07,94.87,95.53,94.61,94.73,2096308.0
2021-10-08,95.03,95.81,94.81,95.07,2430495.0
2021-10-11,93.23,94.01,92.93,93.08,1609053.0
2021-10-12,91.13,91.91,90.69,91.35,827391.0
2021-10-13,93.85,94.31,92.69,93.8,1126479.0
2021-10-14,92.59,93.77,91.37,92.9,2234276.0
2021-10-15,91.05,91.75,91.0,91.54,568744.0
2021-10-18,93.72,93.75,93.52,93.71,988578.0
2021-10-19,95.58,96.24,94.32,95.22,1013092.0
2021-10-20,97.43,97.84,97.08,97.16,780270.0
2021-10-21,95.71,97.02,95.32,95.73,1860656.0
2021-10-22,93.96,94.5,92.83,93.47,1451935.0
2021-10-25,93.52,93.76,93.34,93.68,842788.0
2021-10-26,93.64,94.85,92.99,94.18,1627827.0
2021-10-27,94.12,95.07,93.71,94.74,1111023.0
2021-10-28,96.64,97.81,96.56,96.98,770583.0
2021-10-29,94.61,94.73,93.49,94.38,842005.0
2021-11-01,95.49,96.21,94.34,95.68,1495581.0
2021-11-02,94.18,94.18,93.34,94.05,1923208.0
2021-11-03,95.81,96.39,95.23,95.33,942806.0
2021-11-04,94.32,94.83,94.04,94.64,1578871.0
2021-11-05,93.57,93.8,93.22,93.44,2652139.0
2021-11-08,92.71,92.76,91.79,92.56,640859.0
2021-11-09,90.25,90.74,89.97,90.48,1436665.0
2021-11-10,90.92,91.0,90.15,90.55,1821786.0
